PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
37059591	PMC10120902	493	56	{'283989': ('TSEN54', 274, 9606.0), '4563': ('TRNG', 9, 9606.0), '2823': ('GPM6A', 23, 9606.0), '174': ('AFP', 9, 9606.0), '80746': ('TSEN2', 1, 9606.0), '79042': ('TSEN34', 1, 9606.0), '407019': ('MIR27B', 3, 9606.0), '6359': ('CCL15', 4, 9606.0), '10344': ('CCL26', 4, 9606.0), '56477': ('CCL28', 4, 9606.0), '1460': ('CSNK2B', 21, 9606.0), '472': ('ATM', 18, 9606.0), '7157': ('TP53', 20, 9606.0), '442891': ('MIR135B', 1, 9606.0), '406996': ('MIR214', 1, 9606.0), '407018': ('MIR27A', 1, 9606.0), '100422829': ('MIR4319', 1, 9606.0), '406910': ('MIR125A', 1, 9606.0), '102466658': ('MIR6510', 1, 9606.0), '100302113': ('MIR1200', 1, 9606.0), '100313892': ('MIR761', 1, 9606.0), '9522': ('SCAMP1', 1, 9606.0), '10866': ('HCP5', 1, 9606.0), '196475': ('RMST', 1, 9606.0), '8602': ('NOP14', 1, 9606.0), '57291': ('DANCR', 1, 9606.0), '10984': ('KCNQ1OT1', 1, 9606.0), '100507206': ('LINC00943', 1, 9606.0), '22994': ('CEP131', 2, 9606.0), '339230': ('CCDC137', 5, 9606.0), '10189': ('ALYREF', 1, 9606.0), '332': ('BIRC5', 1, 9606.0), '5465': ('PPARA', 1, 9606.0), '3630': ('INS', 1, 9606.0), '925': ('CD8A', 5, 9606.0), '920': ('CD4', 12, 9606.0), '3458': ('IFNG', 1, 9606.0), '7040': ('TGFB1', 1, 9606.0), '6375': ('XCL1', 1, 9606.0), '6364': ('CCL20', 1, 9606.0), '80381': ('CD276', 8, 9606.0), '1493': ('CTLA4', 3, 9606.0), '84868': ('HAVCR2', 1, 9606.0), '5133': ('PDCD1', 4, 9606.0), '54915': ('YTHDF1', 6, 9606.0), '29890': ('RBM15B', 8, 9606.0), '3181': ('HNRNPA2B1', 6, 9606.0), '2195': ('FAT1', 1, 9606.0), '22974': ('TPX2', 2, 9606.0), '3015': ('H2AZ1', 2, 9606.0), '5294': ('PIK3CG', 3, 9606.0), '207': ('AKT1', 3, 9606.0), '2177': ('FANCD2', 2, 9606.0), '672': ('BRCA1', 2, 9606.0), '7528': ('YY1', 2, 9606.0), '9697': ('TRAM2', 2, 9606.0)}	203
37095554	PMC10127305	98	15	{'55210': ('ATAD3A', 54, 9606.0), '4513': ('COX2', 5, 9606.0), '516': ('ATP5MC1', 6, 9606.0), '100329167': ('AAA1', 4, 9606.0), '83858': ('ATAD3B', 6, 9606.0), '219293': ('ATAD3C', 4, 9606.0), '4512': ('COX1', 2, 9606.0), '1431': ('CS', 4, 9606.0), '4704': ('NDUFA9', 2, 9606.0), '7385': ('UQCRC2', 2, 9606.0), '6389': ('SDHA', 2, 9606.0), '6834': ('SURF1', 4, 9606.0), '4712': ('NDUFB6', 1, 9606.0), '7416': ('VDAC1', 1, 9606.0), '10376': ('TUBA1B', 1, 9606.0)}	8
37180334	PMC10172455	32	13	{'1947': ('EFNB1', 15, 9606.0), '51010': ('EXOSC3', 4, 9606.0), '11273': ('ATXN2L', 1, 9606.0), '7284': ('TUFM', 1, 9606.0), '25970': ('SH2B1', 2, 9606.0), '487': ('ATP2A1', 2, 9606.0), '79874': ('RABEP2', 1, 9606.0), '930': ('CD19', 1, 9606.0), '84901': ('NFATC2IP', 1, 9606.0), '83985': ('SPNS1', 1, 9606.0), '27040': ('LAT', 1, 9606.0), '100616256': ('MIR4721', 1, 9606.0), '100616487': ('MIR4517', 1, 0.0)}	300
37344844	PMC10283289	102	21	{'57038': ('RARS2', 58, 9606.0), '283989': ('TSEN54', 4, 9606.0), '80746': ('TSEN2', 2, 9606.0), '79042': ('TSEN34', 2, 9606.0), '10978': ('CLP1', 3, 9606.0), '51010': ('EXOSC3', 2, 9606.0), '11340': ('EXOSC8', 2, 9606.0), '5393': ('EXOSC9', 2, 9606.0), '7443': ('VRK1', 1, 9606.0), '2597': ('GAPDH', 2, 9606.0), '728378': ('POTEF', 3, 9606.0), '7528': ('YY1', 3, 9606.0), '5978': ('REST', 7, 9606.0), '8894': ('EIF2S2', 1, 9606.0), '3043': ('HBB', 1, 9606.0), '2626': ('GATA4', 2, 9606.0), '2811': ('GP1BA', 1, 9606.0), '2161': ('F12', 2, 9606.0), '308': ('ANXA5', 1, 9606.0), '2913': ('GRM3', 1, 9606.0), '51741': ('WWOX', 2, 9606.0)}	59
37544646	PMC10493513	395	37	{'5073': ('PARN', 96, 9606.0), '114034': ('TOE1', 80, 9606.0), '79650': ('USB1', 91, 9606.0), '4563': ('TRNG', 6, 9606.0), '23318': ('TUT4', 2, 9606.0), '79670': ('TUT7', 2, 9606.0), '64282': ('TENT4B', 6, 9606.0), '11044': ('TENT4A', 1, 9606.0), '7012': ('TERC', 27, 9606.0), '406991': ('MIR21', 2, 9606.0), '115752': ('DIS3L', 1, 9606.0), '129563': ('DIS3L2', 4, 9606.0), '101985': ('Usb1', 10, 10090.0), '9191': ('DEDD', 7, 9606.0), '173779': ('toe-1', 7, 0.0), '27221': ('Chaf1a', 4, 10090.0), '68276': ('Toe1', 5, 10090.0), '100151684': ('RNU6ATAC', 5, 9606.0), '64852': ('TUT1', 1, 9606.0), '394409': ('parn.L', 5, 0.0), '74108': ('Parn', 5, 10090.0), '103135': ('Pan2', 1, 0.0), '9924': ('PAN2', 1, 9606.0), '1977': ('EIF4E', 1, 9606.0), '4686': ('NCBP1', 1, 9606.0), '10658': ('CELF1', 3, 9606.0), '2353': ('FOS', 1, 9606.0), '7124': ('TNF', 1, 9606.0), '7157': ('TP53', 8, 9606.0), '3757': ('KCNH2', 3, 9606.0), '644914': ('H3P16', 2, 9606.0), '12575': ('Cdkn1a', 1, 10090.0), '174866': ('parn-2', 1, 0.0), '4137': ('MAPT', 1, 9606.0), '1736': ('DKC1', 1, 9606.0), '9401': ('RECQL4', 1, 9606.0), '5394': ('EXOSC10', 1, 9606.0)}	37
37789895	PMC10544971	82	9	{'5119': ('CHMP1A', 56, 9606.0), '393535': ('chmp1a', 12, 0.0), '728378': ('POTEF', 1, 9606.0), '8549': ('LGR5', 1, 9606.0), '124045': ('SPATA33', 5, 9606.0), '260303': ('reln', 2, 0.0), '368662': ('ptf1a', 3, 7955.0), '30425': ('pax2a', 1, 7955.0), '30529': ('sox3', 1, 7955.0)}	84
37661832	PMC10581385	723	140	{'7157': ('TP53', 119, 9606.0), '30818': ('KCNIP3', 62, 9606.0), '22059': ('Trp53', 69, 10090.0), '104394': ('E2f4', 16, 10090.0), '13559': ('E2f5', 1, 10090.0), '56461': ('Kcnip3', 57, 10090.0), '269400': ('Rtel1', 7, 10090.0), '69499': ('Tsr2', 5, 0.0), '76464': ('Knl1', 5, 10090.0), '215387': ('Ncaph', 5, 10090.0), '233064': ('Wdr62', 2, 10090.0), '68276': ('Toe1', 2, 10090.0), '14087': ('Fanca', 10, 10090.0), '1874': ('E2F4', 26, 9606.0), '1875': ('E2F5', 2, 9606.0), '1026': ('CDKN1A', 18, 9606.0), '19645': ('Rb1', 2, 10090.0), '75660': ('Lin37', 13, 10090.0), '132660': ('LIN54', 2, 9606.0), '8893': ('EIF2B5', 7, 9606.0), '1125': ('CHR', 31, 0.0), '51750': ('RTEL1', 9, 9606.0), '2177': ('FANCD2', 9, 9606.0), '55215': ('FANCI', 3, 9606.0), '19361': ('Rad51', 5, 10090.0), '4194': ('MDM4', 3, 9606.0), '3205': ('HOXA9', 4, 9606.0), '15405': ('Hoxa9', 6, 10090.0), '13982': ('Esr1', 3, 10090.0), '2069': ('EREG', 4, 9606.0), '4193': ('MDM2', 3, 9606.0), '1736': ('DKC1', 2, 9606.0), '68147': ('Gar1', 1, 10090.0), '21749': ('Terf1', 1, 10090.0), '7298': ('TYMS', 1, 9606.0), '70650': ('Zcchc8', 2, 0.0), '72171': ('Shq1', 2, 10090.0), '20658': ('Son', 1, 10090.0), '110052': ('Dek', 1, 10090.0), '211651': ('Fancd2', 3, 10090.0), '14156': ('Fen1', 5, 10090.0), '8914': ('TIMELESS', 1, 9606.0), '12575': ('Cdkn1a', 2, 10090.0), '2523': ('FUT1', 1, 9606.0), '286826': ('LIN9', 23, 9606.0), '72568': ('Lin9', 13, 10090.0), '5888': ('RAD51', 3, 9606.0), '472': ('ATM', 1, 9606.0), '245000': ('Atr', 1, 10090.0), '64858': ('DCLRE1B', 2, 9606.0), '3364': ('HUS1', 1, 9606.0), '10635': ('RAD51AP1', 2, 9606.0), '6118': ('RPA2', 1, 9606.0), '71718': ('Telo2', 1, 10090.0), '74335': ('Xrcc3', 1, 10090.0), '245474': ('Dkc1', 1, 10090.0), '5394': ('EXOSC10', 1, 9606.0), '54433': ('GAR1', 1, 9606.0), '237107': ('Gnl3l', 1, 10090.0), '92345': ('NAF1', 1, 9606.0), '98956': ('Nat10', 1, 10090.0), '52530': ('Nhp2', 1, 10090.0), '55505': ('NOP10', 1, 9606.0), '5591': ('PRKDC', 1, 9606.0), '51082': ('POLR1D', 1, 9606.0), '9013': ('TAF1C', 1, 9606.0), '79101': ('TAF1D', 1, 9606.0), '232339': ('Ankrd26', 1, 10090.0), '2120': ('ETV6', 1, 9606.0), '67121': ('Mastl', 1, 10090.0), '5295': ('PIK3R1', 1, 9606.0), '6929': ('TCF3', 1, 9606.0), '15985': ('Cd79b', 1, 10090.0), '146059': ('CDAN1', 2, 9606.0), '27054': ('Sec23b', 1, 10090.0), '68401': ('G6pc3', 1, 10090.0), '2672': ('GFI1', 1, 9606.0), '9939': ('RBM8A', 1, 9606.0), '101592': ('Efl1', 1, 10090.0), '5873': ('RAB27A', 1, 9606.0), '4522': ('MTHFD1', 1, 9606.0), '134218': ('DNAJC21', 1, 9606.0), '66977': ('Nuf2', 3, 10090.0), '14113': ('Fbl', 1, 10090.0), '27998': ('Exosc5', 1, 0.0), '17246': ('Mdm2', 1, 10090.0), '15354': ('Hmgb3', 4, 10090.0), '78995': ('HROB', 5, 0.0), '69716': ('Trip13', 11, 10090.0), '74107': ('Cep55', 1, 10090.0), '83540': ('NUF2', 4, 9606.0), '5050': ('PAFAH1B3', 1, 9606.0), '10084': ('PQBP1', 1, 9606.0), '55164': ('SHQ1', 1, 9606.0), '8549': ('LGR5', 3, 9606.0), '9212': ('AURKB', 4, 9606.0), '10733': ('PLK4', 1, 9606.0), '208836': ('Fanci', 2, 10090.0), '3149': ('HMGB3', 1, 9606.0), '9319': ('TRIP13', 2, 9606.0), '2175': ('FANCA', 3, 9606.0), '284403': ('WDR62', 2, 9606.0), '10112': ('KIF20A', 2, 9606.0), '90121': ('TSR2', 1, 9606.0), '2237': ('FEN1', 1, 9606.0), '19362': ('Rad51ap1', 2, 10090.0), '57082': ('KNL1', 4, 9606.0), '23397': ('NCAPH', 1, 9606.0), '20877': ('Aurkb', 1, 10090.0), '19348': ('Kif20a', 1, 10090.0), '74412': ('Gle1', 1, 10090.0), '22': ('ABCB7', 1, 9606.0), '55165': ('CEP55', 1, 9606.0), '108000': ('Cenpf', 1, 10090.0), '90417': ('KNSTRN', 1, 9606.0), '55345': ('ZGRF1', 1, 9606.0), '9133': ('CCNB2', 1, 9606.0), '113510': ('HELQ', 1, 9606.0), '64704': ('Htra2', 1, 10090.0), '68349': ('Ndufs3', 1, 10090.0), '226026': ('Smc5', 1, 10090.0), '12028': ('Bax', 1, 10090.0), '27113': ('BBC3', 2, 9606.0), '319801': ('Tigar', 1, 10090.0), '83990': ('BRIP1', 2, 9606.0), '237211': ('Fancb', 2, 10090.0), '2187': ('FANCB', 1, 9606.0), '233826': ('Palb2', 1, 10090.0), '22202': ('Uba1y', 1, 10090.0), '4364': ('MRSD', 1, 9606.0), '79728': ('PALB2', 1, 9606.0), '7318': ('UBA7', 1, 9606.0), '7516': ('XRCC2', 1, 9606.0), '78656': ('Brd8', 1, 10090.0), '10902': ('BRD8', 14, 9606.0), '1063': ('CENPF', 2, 9606.0), '259266': ('ASPM', 2, 9606.0), '581': ('BAX', 1, 9606.0), '1647': ('GADD45A', 1, 9606.0), '1263': ('PLK3', 1, 9606.0)}	96
38017281	PMC10810757	59	10	{'11340': ('EXOSC8', 33, 9606.0), '5394': ('EXOSC10', 1, 9606.0), '22894': ('DIS3', 3, 9606.0), '51010': ('EXOSC3', 6, 9606.0), '5393': ('EXOSC9', 3, 9606.0), '51013': ('EXOSC1', 3, 9606.0), '23404': ('EXOSC2', 3, 9606.0), '4068': ('SH2D1A', 1, 9606.0), '7443': ('VRK1', 4, 9606.0), '91137': ('SLC25A46', 2, 9606.0)}	184
17641900	PMC2039791	63	22	{'7443': ('VRK1', 6, 9606.0), '2670': ('GFAP', 4, 9606.0), '20977': ('Syp', 1, 10090.0), '54141': ('Spag5', 1, 10090.0), '17756': ('Map2', 1, 10090.0), '12307': ('Calb1', 1, 10090.0), '17196': ('Mbp', 2, 10090.0), '22352': ('Vim', 1, 10090.0), '14580': ('Gfap', 2, 10090.0), '12514': ('Cd68', 2, 10090.0), '12367': ('Casp3', 1, 10090.0), '20617': ('Snca', 2, 10090.0), '14828': ('Hspa5', 1, 10090.0), '83939': ('EIF2A', 3, 9606.0), '6855': ('SYP', 10, 9606.0), '7431': ('VIM', 7, 9606.0), '4133': ('MAP2', 9, 9606.0), '4155': ('MBP', 2, 9606.0), '793': ('CALB1', 4, 9606.0), '836': ('CASP3', 1, 9606.0), '3976': ('LIF', 1, 9606.0), '2662': ('GDF10', 1, 9606.0)}	140
19169258	PMC2719486	42	8	{'3631': ('INPP4A', 8, 9606.0), '2965': ('GTF2H1', 9, 9606.0), '6606': ('SMN1', 10, 9606.0), '6607': ('SMN2', 8, 9606.0), '6631': ('SNRPC', 2, 9606.0), '852850': ('HOP2', 2, 559292.0), '26824': ('RNU11', 1, 9606.0), '57038': ('RARS2', 2, 9606.0)}	311
