Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cellular senescence	6/156	3.2033319320458033e-08	2.850965419520764e-06	0	0	41.73684210526316	720.2313669967602	CDKN1A;MRE11;ATM;NBN;TP53;ATR
KEGG_2021_Human	MicroRNAs in cancer	6/310	1.825336840635125e-06	5.782987487809886e-05	0	0	20.433864265927976	270.00789257114525	HDAC4;CDKN1A;ATM;BMI1;TP53;EZH2
KEGG_2021_Human	p53 signaling pathway	4/73	1.949321625104456e-06	5.782987487809886e-05	0	0	54.95100069013112	722.4973578226677	CDKN1A;ATM;TP53;ATR
KEGG_2021_Human	Cell cycle	4/124	1.609632421138831e-05	0.0003172396293005012	0	0	31.515873015873016	347.838157289951	CDKN1A;ATM;TP53;ATR
KEGG_2021_Human	Homologous recombination	3/41	1.782245108429782e-05	0.0003172396293005012	0	0	71.54425837320574	782.3401568918739	MRE11;ATM;NBN
KEGG_2021_Human	Human papillomavirus infection	5/331	4.874497112858091e-05	0.0007230504050739502	0	0	15.068251533742332	149.611291067699	CDKN1A;ISG15;ATM;TP53;ATR
KEGG_2021_Human	Transcriptional misregulation in cancer	4/192	8.891341857293686e-05	0.000994108397724122	0	0	20.047619047619047	187.00113294878892	CDKN1A;ATM;BMI1;TP53
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	8.935805822239299e-05	0.000994108397724122	0	0	40.51831750339213	377.74656640120895	G6PD;TP53;SIRT3
KEGG_2021_Human	Human immunodeficiency virus 1 infection	4/212	0.00013034484914216856	0.0012889657304058	0	0	18.10164835164835	161.92516254908534	STING1;CGAS;ATM;ATR
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	4/219	0.0001476951737236713	0.0013144870461406	0	0	17.50609080841639	154.41002391370128	CDKN1A;ATM;TP53;ATR
KEGG_2021_Human	Human cytomegalovirus infection	4/225	0.00016385063727322434	0.0013257006106651	0	0	17.025641025641026	148.4049414065554	CDKN1A;STING1;CGAS;TP53
KEGG_2021_Human	Shigellosis	4/246	0.00023055945303465284	0.001709982610007	0	0	15.53168044077135	130.07785161819749	STING1;CGAS;ATM;TP53
KEGG_2021_Human	Thyroid cancer	2/37	0.0009725891624110714	0.0060866311577169	0	0	49.54037267080745	343.5896723752696	CDKN1A;TP53
KEGG_2021_Human	Amyotrophic lateral sclerosis	4/364	0.0010087303977161	0.0060866311577169	0	0	10.378306878306878	71.6005906082784	SETX;PRKN;NEFL;TP53
KEGG_2021_Human	Primary immunodeficiency	2/38	0.0010258367119747	0.0060866311577169	0	0	48.16183574879227	331.4616349082861	CD79A;CD8A
KEGG_2021_Human	Bladder cancer	2/41	0.0011938231616913	0.0066406413369082	0	0	44.450390189520625	299.1775464324702	CDKN1A;TP53
KEGG_2021_Human	Epstein-Barr virus infection	3/202	0.0019817370876061	0.009937389763085	0	0	13.551393330287803	84.34091113429425	CDKN1A;ISG15;TP53
KEGG_2021_Human	Viral carcinogenesis	3/203	0.0020098091655677	0.009937389763085	0	0	13.482954545454543	83.72531187958572	HDAC4;CDKN1A;TP53
KEGG_2021_Human	Endometrial cancer	2/58	0.0023754913784137	0.0111273017199379	0	0	30.930124223602483	186.8968520281422	CDKN1A;TP53
KEGG_2021_Human	Basal cell carcinoma	2/63	0.0027959111229246	0.0118493376162042	0	0	28.38774055595153	166.90848108900067	CDKN1A;TP53
KEGG_2021_Human	Cytosolic DNA-sensing pathway	2/63	0.0027959111229246	0.0118493376162042	0	0	28.38774055595153	166.90848108900067	STING1;CGAS
KEGG_2021_Human	Coronavirus disease	3/232	0.0029348205251332	0.0118726830334937	0	0	11.758237395791982	68.56356363748765	STING1;CGAS;ISG15
KEGG_2021_Human	Mitophagy	2/68	0.0032487464098998	0.0119790478898182	0	0	26.23056653491436	150.2876657557229	PRKN;TP53
KEGG_2021_Human	RIG-I-like receptor signaling pathway	2/70	0.0034388699204844	0.0119790478898182	0	0	25.456521739130434	144.40498019235108	STING1;ISG15
KEGG_2021_Human	Parkinson disease	3/249	0.003581233472243	0.0119790478898182	0	0	10.936252771618625	61.59350046887717	PRKN;TXN;TP53
KEGG_2021_Human	Melanoma	2/72	0.0036340931800572	0.0119790478898182	0	0	24.72670807453416	138.89970282560614	CDKN1A;TP53
KEGG_2021_Human	Non-small cell lung cancer	2/72	0.0036340931800572	0.0119790478898182	0	0	24.72670807453416	138.89970282560614	CDKN1A;TP53
KEGG_2021_Human	Glioma	2/75	0.0039364363425538	0.0119845640458811	0	0	23.706968433591424	131.27685044097217	CDKN1A;TP53
KEGG_2021_Human	Chronic myeloid leukemia	2/76	0.0040397406896228	0.0119845640458811	0	0	23.38542890716804	128.890540062766	CDKN1A;TP53
