Metric	Number genes	# Considered Pathways	Rank 1	Rank 2	Ranks 3-5	Ranks 6-25	Ranks >25	Rank 1-3	Rank 1-5	No Rank	Rank 1 (%)	Rank 2 (%)	Ranks 3-5 (%)	Ranks 6-25 (%)	Ranks >25 (%)	Rank 1-3 (%)	Rank 1-5 (%)	No Rank (%)	Average Adj P-value (Expected Pathway)	Median Adj P-value (Expected Pathway)	Std Dev Adj P-value (Expected Pathway)
counts	10	193	159	10	12	9	2	176	181	1	82.38	5.18	6.22	4.66	1.04	91.19	93.78	0.52	1.54e-03	4.09e-12	1.55e-02
counts	20	157	125	17	7	8	0	147	149	0	79.62	10.83	4.46	5.10	0.00	93.63	94.90	0.00	1.11e-03	4.84e-21	1.39e-02
counts	30	116	93	13	4	6	0	107	110	0	80.17	11.21	3.45	5.17	0.00	92.24	94.83	0.00	8.14e-04	3.54e-28	8.76e-03
counts	40	90	72	8	6	4	0	83	86	0	80.00	8.89	6.67	4.44	0.00	92.22	95.56	0.00	1.32e-05	3.71e-33	1.25e-04
counts	50	78	63	7	4	3	1	71	74	0	80.77	8.97	5.13	3.85	1.28	91.03	94.87	0.00	1.70e-06	5.02e-36	1.50e-05
counts	60	68	56	6	2	2	2	64	64	0	82.35	8.82	2.94	2.94	2.94	94.12	94.12	0.00	2.47e-06	1.98e-38	2.04e-05
counts	70	58	46	6	3	1	2	54	55	0	79.31	10.34	5.17	1.72	3.45	93.10	94.83	0.00	5.38e-07	2.68e-40	4.09e-06
counts	80	52	42	5	4	1	0	48	51	0	80.77	9.62	7.69	1.92	0.00	92.31	98.08	0.00	1.42e-20	3.53e-44	1.02e-19
counts	90	45	33	7	4	1	0	41	44	0	73.33	15.56	8.89	2.22	0.00	91.11	97.78	0.00	8.24e-21	3.26e-49	5.50e-20
counts	100	45	33	7	2	3	0	41	42	0	73.33	15.56	4.44	6.67	0.00	91.11	93.33	0.00	2.66e-22	3.71e-50	1.78e-21
