Metric	Number genes	# Considered Pathways	Rank 1	Rank 2	Ranks 3-5	Ranks 6-25	Ranks >25	Rank 1-3	Rank 1-5	No Rank	Rank 1 (%)	Rank 2 (%)	Ranks 3-5 (%)	Ranks 6-25 (%)	Ranks >25 (%)	Rank 1-3 (%)	Rank 1-5 (%)	No Rank (%)	Average Adj P-value (Expected Pathway)	Median Adj P-value (Expected Pathway)	Std Dev Adj P-value (Expected Pathway)
tfidf	10	193	162	15	7	7	1	182	184	1	83.94	7.77	3.63	3.63	0.52	94.30	95.34	0.52	9.8e-04	1.64e-12	8.94e-03
tfidf	20	157	129	12	9	7	0	148	150	0	82.17	7.64	5.73	4.46	0.00	94.27	95.54	0.00	2.48e-04	4.47e-20	3.05e-03
tfidf	30	116	95	13	5	3	0	110	113	0	81.90	11.21	4.31	2.59	0.00	94.83	97.41	0.00	1.11e-04	2.07e-27	1.19e-03
tfidf	40	90	75	8	5	2	0	85	88	0	83.33	8.89	5.56	2.22	0.00	94.44	97.78	0.00	1.94e-06	8.13e-32	1.84e-05
tfidf	50	78	66	4	6	2	0	72	76	0	84.62	5.13	7.69	2.56	0.00	92.31	97.44	0.00	3.6e-06	1.95e-34	3.18e-05
tfidf	60	68	57	5	3	2	1	64	65	0	83.82	7.35	4.41	2.94	1.47	94.12	95.59	0.00	3.47e-06	2.09e-36	2.87e-05
tfidf	70	58	46	7	2	2	1	55	55	0	79.31	12.07	3.45	3.45	1.72	94.83	94.83	0.00	4.58e-07	4.08e-38	3.49e-06
tfidf	80	52	43	4	4	1	0	50	51	0	82.69	7.69	7.69	1.92	0.00	96.15	98.08	0.00	1.04e-17	3.43e-43	7.48e-17
tfidf	90	45	36	5	3	1	0	43	44	0	80.00	11.11	6.67	2.22	0.00	95.56	97.78	0.00	6.54e-21	5.36e-44	4.19e-20
tfidf	100	45	37	3	4	1	0	42	44	0	82.22	6.67	8.89	2.22	0.00	93.33	97.78	0.00	7.95e-24	3.26e-48	5.2e-23
