Pathway	Article Count	Success Rate	Times Found	Total Occurrences
ABC transporters	0	0.9285714285714286	13	14
ABC transporters	10	0.9230769230769231	12	13
ABC transporters	20	1.0	13	13
ABC transporters	30	1.0	11	11
ABC transporters	40	0.9166666666666666	11	12
ABC transporters	50	0.9166666666666666	11	12
ABC transporters	100	0.9090909090909091	10	11
ABC transporters	200	0.9	9	10
ABC transporters	300	0.8888888888888888	8	9
ABC transporters	400	0.8888888888888888	8	9
ABC transporters	500	0.8888888888888888	8	9
ABC transporters	600	0.8888888888888888	8	9
ABC transporters	700	0.8888888888888888	8	9
ABC transporters	800	0.8888888888888888	8	9
ABC transporters	900	0.875	7	8
ABC transporters	1000	1.0	4	4
AGE-RAGE signaling pathway in diabetic complications	0	1.0	7	7
AGE-RAGE signaling pathway in diabetic complications	10	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	20	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	30	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	40	1.0	5	5
AGE-RAGE signaling pathway in diabetic complications	50	1.0	5	5
AGE-RAGE signaling pathway in diabetic complications	100	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	200	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	300	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	400	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	500	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	600	1.0	6	6
AGE-RAGE signaling pathway in diabetic complications	700	1.0	5	5
AGE-RAGE signaling pathway in diabetic complications	800	1.0	5	5
AGE-RAGE signaling pathway in diabetic complications	900	1.0	4	4
AGE-RAGE signaling pathway in diabetic complications	1000	1.0	3	3
AMPK signaling pathway	0	1.0	9	9
AMPK signaling pathway	10	1.0	9	9
AMPK signaling pathway	20	1.0	8	8
AMPK signaling pathway	30	1.0	7	7
AMPK signaling pathway	40	1.0	7	7
AMPK signaling pathway	50	1.0	7	7
AMPK signaling pathway	100	1.0	6	6
AMPK signaling pathway	200	1.0	6	6
AMPK signaling pathway	300	1.0	6	6
AMPK signaling pathway	400	1.0	6	6
AMPK signaling pathway	500	1.0	6	6
AMPK signaling pathway	600	1.0	5	5
AMPK signaling pathway	700	1.0	5	5
AMPK signaling pathway	800	1.0	5	5
AMPK signaling pathway	900	1.0	5	5
AMPK signaling pathway	1000	1.0	2	2
Adherens junction	0	0.8333333333333334	5	6
Adherens junction	10	1.0	5	5
Adherens junction	20	1.0	3	3
Adherens junction	30	1.0	3	3
Adherens junction	40	0.75	3	4
Adherens junction	50	0.75	3	4
Adherens junction	100	0.75	3	4
Adherens junction	200	1.0	4	4
Adherens junction	300	0.75	3	4
Adherens junction	400	0.75	3	4
Adherens junction	500	0.6666666666666666	2	3
Adherens junction	600	1.0	2	2
Adherens junction	700	1.0	2	2
Adherens junction	800	1.0	2	2
Adherens junction	900	1.0	2	2
Adherens junction	1000	1.0	1	1
Adipocytokine signaling pathway	0	1.0	11	11
Adipocytokine signaling pathway	10	0.9090909090909091	10	11
Adipocytokine signaling pathway	20	0.9090909090909091	10	11
Adipocytokine signaling pathway	30	1.0	11	11
Adipocytokine signaling pathway	40	1.0	11	11
Adipocytokine signaling pathway	50	1.0	11	11
Adipocytokine signaling pathway	100	1.0	9	9
Adipocytokine signaling pathway	200	1.0	9	9
Adipocytokine signaling pathway	300	1.0	8	8
Adipocytokine signaling pathway	400	1.0	6	6
Adipocytokine signaling pathway	500	1.0	6	6
Adipocytokine signaling pathway	600	1.0	5	5
Adipocytokine signaling pathway	700	1.0	5	5
Adipocytokine signaling pathway	800	1.0	5	5
Adipocytokine signaling pathway	900	1.0	5	5
Adipocytokine signaling pathway	1000	1.0	1	1
Adrenergic signaling in cardiomyocytes	0	1.0	6	6
Adrenergic signaling in cardiomyocytes	10	0.6	3	5
Adrenergic signaling in cardiomyocytes	20	0.8	4	5
Adrenergic signaling in cardiomyocytes	30	0.8	4	5
Adrenergic signaling in cardiomyocytes	40	0.6	3	5
Adrenergic signaling in cardiomyocytes	50	0.6	3	5
Adrenergic signaling in cardiomyocytes	100	0.8	4	5
Adrenergic signaling in cardiomyocytes	200	0.8	4	5
Adrenergic signaling in cardiomyocytes	300	0.75	3	4
Adrenergic signaling in cardiomyocytes	400	0.75	3	4
Adrenergic signaling in cardiomyocytes	500	0.75	3	4
Adrenergic signaling in cardiomyocytes	600	0.75	3	4
Adrenergic signaling in cardiomyocytes	700	0.75	3	4
Adrenergic signaling in cardiomyocytes	800	0.75	3	4
Adrenergic signaling in cardiomyocytes	900	0.75	3	4
Adrenergic signaling in cardiomyocytes	1000	1.0	1	1
Alanine, aspartate and glutamate metabolism	0	0.8571428571428571	6	7
Alanine, aspartate and glutamate metabolism	10	1.0	6	6
Alanine, aspartate and glutamate metabolism	20	0.8571428571428571	6	7
Alanine, aspartate and glutamate metabolism	30	0.8333333333333334	5	6
Alanine, aspartate and glutamate metabolism	40	0.8	4	5
Alanine, aspartate and glutamate metabolism	50	0.75	3	4
Alanine, aspartate and glutamate metabolism	100	1.0	3	3
Alanine, aspartate and glutamate metabolism	200	1.0	2	2
Alanine, aspartate and glutamate metabolism	300	1.0	1	1
Alanine, aspartate and glutamate metabolism	400	1.0	1	1
Aldosterone synthesis and secretion	0	0.8571428571428571	6	7
Aldosterone synthesis and secretion	10	0.8571428571428571	6	7
Aldosterone synthesis and secretion	20	0.8571428571428571	6	7
Aldosterone synthesis and secretion	30	0.8571428571428571	6	7
Aldosterone synthesis and secretion	40	0.8571428571428571	6	7
Aldosterone synthesis and secretion	50	0.8571428571428571	6	7
Aldosterone synthesis and secretion	100	0.8571428571428571	6	7
Aldosterone synthesis and secretion	200	0.8571428571428571	6	7
Aldosterone synthesis and secretion	300	1.0	5	5
Aldosterone synthesis and secretion	400	1.0	4	4
Aldosterone synthesis and secretion	500	1.0	4	4
Aldosterone synthesis and secretion	600	1.0	4	4
Aldosterone synthesis and secretion	700	1.0	3	3
Aldosterone synthesis and secretion	800	1.0	3	3
Aldosterone synthesis and secretion	900	1.0	3	3
Aldosterone synthesis and secretion	1000	1.0	2	2
Aldosterone-regulated sodium reabsorption	0	0.8571428571428571	6	7
Aldosterone-regulated sodium reabsorption	10	0.42857142857142855	3	7
Aldosterone-regulated sodium reabsorption	20	0.42857142857142855	3	7
Aldosterone-regulated sodium reabsorption	30	0.5714285714285714	4	7
Aldosterone-regulated sodium reabsorption	40	0.7142857142857143	5	7
Aldosterone-regulated sodium reabsorption	50	0.7142857142857143	5	7
Aldosterone-regulated sodium reabsorption	100	0.7142857142857143	5	7
Aldosterone-regulated sodium reabsorption	200	0.8571428571428571	6	7
Aldosterone-regulated sodium reabsorption	300	0.8571428571428571	6	7
Aldosterone-regulated sodium reabsorption	400	0.8333333333333334	5	6
Aldosterone-regulated sodium reabsorption	500	0.8333333333333334	5	6
Aldosterone-regulated sodium reabsorption	600	0.8333333333333334	5	6
Aldosterone-regulated sodium reabsorption	700	0.8333333333333334	5	6
Aldosterone-regulated sodium reabsorption	800	0.8333333333333334	5	6
Aldosterone-regulated sodium reabsorption	900	0.8333333333333334	5	6
Aldosterone-regulated sodium reabsorption	1000	0.5	1	2
Amino sugar and nucleotide sugar metabolism	0	1.0	4	4
Amino sugar and nucleotide sugar metabolism	10	0.5	2	4
Amino sugar and nucleotide sugar metabolism	20	0.75	3	4
Amino sugar and nucleotide sugar metabolism	30	0.75	3	4
Amino sugar and nucleotide sugar metabolism	40	0.75	3	4
Amino sugar and nucleotide sugar metabolism	50	1.0	4	4
Amino sugar and nucleotide sugar metabolism	100	1.0	4	4
Amino sugar and nucleotide sugar metabolism	200	1.0	4	4
Amino sugar and nucleotide sugar metabolism	300	1.0	4	4
Amino sugar and nucleotide sugar metabolism	400	1.0	4	4
Amino sugar and nucleotide sugar metabolism	500	1.0	4	4
Amino sugar and nucleotide sugar metabolism	600	1.0	4	4
Amino sugar and nucleotide sugar metabolism	700	1.0	4	4
Amino sugar and nucleotide sugar metabolism	800	1.0	4	4
Amino sugar and nucleotide sugar metabolism	900	1.0	4	4
Amino sugar and nucleotide sugar metabolism	1000	1.0	1	1
Aminoacyl-tRNA biosynthesis	0	0.9411764705882353	16	17
Aminoacyl-tRNA biosynthesis	10	0.5384615384615384	7	13
Aminoacyl-tRNA biosynthesis	20	0.5	6	12
Aminoacyl-tRNA biosynthesis	30	0.5833333333333334	7	12
Aminoacyl-tRNA biosynthesis	40	0.6666666666666666	8	12
Aminoacyl-tRNA biosynthesis	50	0.75	9	12
Aminoacyl-tRNA biosynthesis	100	0.8181818181818182	9	11
Aminoacyl-tRNA biosynthesis	200	0.8	8	10
Aminoacyl-tRNA biosynthesis	300	0.8	8	10
Aminoacyl-tRNA biosynthesis	400	0.8888888888888888	8	9
Aminoacyl-tRNA biosynthesis	500	0.875	7	8
Aminoacyl-tRNA biosynthesis	600	0.875	7	8
Aminoacyl-tRNA biosynthesis	700	0.875	7	8
Aminoacyl-tRNA biosynthesis	800	0.875	7	8
Aminoacyl-tRNA biosynthesis	900	0.875	7	8
Aminoacyl-tRNA biosynthesis	1000	0.8	4	5
Amyotrophic lateral sclerosis	0	1.0	1	1
Amyotrophic lateral sclerosis	10	1.0	1	1
Amyotrophic lateral sclerosis	20	1.0	1	1
Amyotrophic lateral sclerosis	30	1.0	1	1
Amyotrophic lateral sclerosis	40	1.0	1	1
Amyotrophic lateral sclerosis	50	1.0	1	1
Amyotrophic lateral sclerosis	100	1.0	1	1
Amyotrophic lateral sclerosis	200	1.0	1	1
Amyotrophic lateral sclerosis	300	1.0	1	1
Amyotrophic lateral sclerosis	400	1.0	1	1
Amyotrophic lateral sclerosis	500	1.0	1	1
Amyotrophic lateral sclerosis	600	1.0	1	1
Amyotrophic lateral sclerosis	700	1.0	1	1
Amyotrophic lateral sclerosis	800	1.0	1	1
Amyotrophic lateral sclerosis	900	1.0	1	1
Amyotrophic lateral sclerosis	1000	1.0	1	1
Antigen processing and presentation	0	0.9375	15	16
Antigen processing and presentation	10	0.7857142857142857	11	14
Antigen processing and presentation	20	0.9333333333333333	14	15
Antigen processing and presentation	30	0.9333333333333333	14	15
Antigen processing and presentation	40	0.9375	15	16
Antigen processing and presentation	50	0.9375	15	16
Antigen processing and presentation	100	0.9333333333333333	14	15
Antigen processing and presentation	200	0.9333333333333333	14	15
Antigen processing and presentation	300	0.9333333333333333	14	15
Antigen processing and presentation	400	0.9333333333333333	14	15
