Sample ID	Gene Name	Entrez ID	Start Position	End Position
P00015731A0090	CO2	717	229	232
P00025557A0100	CO2	717	8	11
P00033873T0001	Gamma glutamyl transpeptidase	102724197	-1	28
P00052597T0000	Dan	4681	67	70
P00055040A0000	fibrinogen	2244	306	316
P00055040A0000	fibrinogen	2244	132	142
P00083846T0000	Albumin	213	-1	6
P00088391A0181	factor IX	2158	17	26
P00088391A0181	factor IX	2158	76	85
P00105401A0635	TBG	6906	90	93
P00113657A0628	gcm-2	9247	13	18
P00122718A0500	MRF	745	15	18
P00137671A0896	VIII	1351	59	63
P00139624A0318	ceruloplasmin	24268	61	74
P00150066A0100	fibrinogen	2244	12	22
P00150066A0100	thrombin	2147	60	68
P00201881A0487	MSH	5443	87	90
P00201881A0487	ACTH	5443	78	82
P00227610A1593	DBP	1628	36	39
P00231555T0001	ACTH	5443	81	85
P00232354A0286	insulin	3630	29	36
P00232354A0286	ACTH	5443	5	9
P00234264A0164	Gamma glutamyl transpeptidase	102724197	-1	28
P00304806A0760	alpha1AT	5265	21	29
P00336354A0543	GH	8836	21	23
P00336354A0543	insulin	3630	71	78
P00369397A0280	GnRH	2796	66	70
P00377466A0188	prolactin	5617	83	92
P00377466A0188	HPRL	5618	94	98
P00378492A0475	renin	5972	123	128
P00378492A0475	Renin	5972	-1	4
P00420460A0291	renin	5972	76	81
P00429949A0000	prolactin	5617	238	247
P00429949A0000	prolactin	5617	124	133
P00450367T0000	trail	8743	13	18
P00464387A1185	ABPA	2318	90	94
P00465681A0000	atm	11920	149	152
P00465681A0000	atm	11920	193	196
P00499588T0000	insulin	3630	55	62
P00528144T0000	transferrin	7018	14	25
P00540707A0255	PMK	10654	253	256
P00569989A0239	dPn	35800	118	121
P00589073A0000	prolactin	5617	24	33
P00593119T0001	IgE	3497	104	107
P00593119T0001	IgE	3497	48	51
P00598012A0174	prolactin	5617	8	17
P00598012A0174	prolactin	5617	103	112
P00618078A0367	lysozyme	4069	17	25
P00637637T0000	renin	5972	37	42
P00710372A0302	GH	8836	93	95
P00715753A0241	CPK	5286	46	49
P00715753A0241	CPK	5286	69	72
P00725257A0452	pD2	54623	14	17
P00780639X0000	CEA	1084	25	28
P00898500A0246	IgE	3497	170	173
P00910823A0196	pH	5053	73	75
P00921911A0159	PGF	5228	14	17
P00932817A0499	MEC	56477	50	53
P00954819A1041	AChE	43	151	155
P00959656A0250	antithrombin III	462	47	63
P00984209A0614	gastrin	2520	5	12
P00984209A0614	gastrin	2520	78	85
P00986925A0002	glucagon	2641	82	90
P01000378T0000	glucagon	443179	26	34
P01000378T0000	insulin	105613195	39	46
P01021091T0000	vasopressin	551	114	125
P01083375T0000	Alpha-1 antitrypsin	5265	-1	18
P01083784T0000	IgE	3497	32	35
P01116466A0185	VIII	1351	132	136
P01116466A0185	thrombin	2147	49	57
P01130186A0568	insulin	3630	53	60
P01130531A0224	CBF	10153	78	81
P01138330A0204	NaC1	112939	86	90
P01141114A0188	P50	4790	83	86
P01158512T0000	G-6-PD	2539	34	40
P01158512T0000	Glucose-6-phosphate dehydrogenase	2539	-1	32
P01246210A0648	TBCa	6902	57	61
P01275541A0405	CPK	5286	24	27
P01276105A0313	insulin	3630	16	23
P01279352A0297	PAL	26103	9	12
P01279352A1197	NF(H)	380684	19	24
P01280807A0575	MetRS	92935	22	27
P01280807A0575	ThrRS	123283	96	101
P01281771T0000	cytokeratin 17	3872	43	57
P01282014A0275	DSP-4	78986	21	26
P01284828T0001	Tissue plasminogen activator	5327	-1	27
P01285009A0000	growth hormone	2688	35	49
P01285009A0000	rCCK	25298	183	187
P01285009A0000	beta-actin	396526	201	211
P01285009A0000	hGH	8836	51	54
P01285358A0396	AFP	174	17	20
P01285358A0396	gastrin	2520	5	12
P01294345A0591	prolactin	5617	146	155
P01296815A0059	LD78 gamma	390788	51	61
P01296815A0059	LD78	6349	38	42
P01301171A0979	c-myc	4609	45	50
P01309587A0715	c-myb	4602	139	144
P01309587A0715	Z protein	51643	117	126
P01309587A0715	c-myb	4602	58	63
