Sample ID	Gene Name	Ensembl ID	Gene Symbol
P00056901A0308	albumin	['9606.ENSP00000295897']	[]
P00066874T0000	alpha fetoprotein	['9606.ENSP00000379138']	[]
P00083846T0000	Albumin	['9606.ENSP00000295897']	[]
P00088391A0181	factor IX	['9606.ENSP00000218099']	[]
P00089778A0000	alpha 1-antitrypsin	['9606.ENSP00000416066']	[]
P00089778A0000	alpha 2-macroglobulin	['9606.ENSP00000323929']	[]
P00089778A0000	plasminogen	['9606.ENSP00000308938']	[]
P00139624A0318	ceruloplasmin	['10116.ENSRNOP00000075010', '9606.ENSP00000264613']	[]
P00199012T0000	ACTH	['9606.ENSP00000384092']	[]
P00201881A0487	ACTH	['9606.ENSP00000384092']	[]
P00221725A0523	peroxidase	['9606.ENSP00000348645', '9606.ENSP00000252804']	[]
P00231555T0001	ACTH	['9606.ENSP00000384092']	[]
P00232354A0286	insulin	['9606.ENSP00000380432']	[]
P00232354A0286	ACTH	['9606.ENSP00000384092']	[]
P00261981A0434	somatomedin A	['9606.ENSP00000391826']	[]
P00304806A0760	alpha1AT	['9606.ENSP00000416066']	[]
P00331128A0000	calcitonin	['9606.ENSP00000331746', '9606.ENSP00000433490']	[]
P00336354A0543	insulin	['9606.ENSP00000380432']	[]
P00369397A0280	GnRH	['9606.ENSP00000276414']	[]
P00377466A0188	prolactin	['9606.ENSP00000302150']	[]
P00378492A0475	Renin	['9606.ENSP00000272190']	[]
P00378492A0475	renin	['9606.ENSP00000272190']	[]
P00420460A0291	renin	['9606.ENSP00000272190']	[]
P00429949A0000	prolactin	['9606.ENSP00000302150']	[]
P00499588T0000	insulin	['9606.ENSP00000380432']	[]
P00540707A0255	PMK	['9606.ENSP00000357452']	[]
P00580151A0706	se-T	['9606.ENSP00000361777']	[]
P00589073A0000	prolactin	['9606.ENSP00000302150']	[]
P00598012A0174	prolactin	['9606.ENSP00000302150']	[]
P00637637T0000	renin	['9606.ENSP00000272190']	[]
P00656008T0000	superoxide dismutase	['9606.ENSP00000442920']	[]
P00696858A0000	secretin	['9606.ENSP00000176195']	[]
P00715753A0241	CPK	['9606.ENSP00000265970']	[]
P00780639X0000	Carcinoembryonic antigen	['9606.ENSP00000221992']	[]
P00839378A0649	RDS	['9606.ENSP00000385828', '9606.ENSP00000230381']	[]
P00857024A0888	properdin	['9606.ENSP00000247153']	[]
P00881630A0000	Phospholipase-A	['10116.ENSRNOP00000002329']	[]
P00909114A0000	DAN	['9606.ENSP00000387911', '10116.ENSRNOP00000064345', '9606.ENSP00000289749']	[]
P00932817A0499	MTF	['9606.ENSP00000313691', '9606.ENSP00000296350']	[]
P00959656A0250	antithrombin III	['9606.ENSP00000356671']	[]
P00984209A0614	gastrin	['9606.ENSP00000331358']	[]
P00986925A0002	calcitonin	['9606.ENSP00000331746', '9606.ENSP00000433490']	[]
P00986925A0002	glucagon	['9606.ENSP00000387662']	[]
P00993176A0066	myoglobin	['9606.ENSP00000352835']	[]
P01000378T0000	glucagon	['9606.ENSP00000387662']	[]
P01000378T0000	insulin	['9606.ENSP00000380432']	[]
P01083375T0000	Alpha-1 antitrypsin	['9606.ENSP00000416066']	[]
P01116466A0185	thromboplastin	['9606.ENSP00000334145']	[]
P01116466A0185	Thromboplastin	['9606.ENSP00000334145']	[]
P01130186A0568	insulin	['9606.ENSP00000380432']	[]
P01138330A0204	HC1	['9606.ENSP00000451291', '9606.ENSP00000359045', '9606.ENSP00000360473']	[]
P01138330A0204	Na C1	['9606.ENSP00000303540', '9606.ENSP00000292431']	[]
P01158512T0000	G-6-PD	['9606.ENSP00000377192', '9606.ENSP00000358674']	[]
P01168607A0672	prothrombin	['9606.ENSP00000308541']	[]
P01190120A0832	thromboplastin	['9606.ENSP00000334145']	[]
P01275541A0405	CPK	['9606.ENSP00000265970']	[]
P01276105A0313	insulin	['9606.ENSP00000380432']	[]
P01279352A1197	beta-galactosidase	['10090.ENSMUSP00000110916', '10090.ENSMUSP00000055803', '9606.ENSP00000306920']	[]
P01280807A0575	MetRS	['9606.ENSP00000282276', '9606.ENSP00000262027']	[]
P01280807A0575	ThrRS	['9606.ENSP00000338093', '9606.ENSP00000387710', '9606.ENSP00000358060']	[]
P01281472T0000	glycogenin	['9606.ENSP00000340736', '9606.ENSP00000370555']	[]
P01281771T0000	cytokeratin 17	['9606.ENSP00000308452']	[]
P01284828T0001	Tissue plasminogen activator	['9606.ENSP00000220809']	[]
P01285009A0000	metallothionein	['10116.ENSRNOP00000025694', '10116.ENSRNOP00000041060', '9031.ENSGALP00000023519', '9031.ENSGALP00000042113', '9606.ENSP00000328137']	[]
P01285009A0000	cholecystokinin	['10090.ENSMUSP00000149679', '10116.ENSRNOP00000026159', '9606.ENSP00000379472', '9031.ENSGALP00000044506']	[]
P01285009A0000	beta-actin	['9031.ENSGALP00000060844', '10090.ENSMUSP00000098066', '10116.ENSRNOP00000072672', '9606.ENSP00000494750']	[]
P01285009A0000	thymidine kinase	['10090.ENSMUSP00000053616', '9031.ENSGALP00000053115', '9031.ENSGALP00000067734', '9606.ENSP00000299697', '10116.ENSRNOP00000017269', '10116.ENSRNOP00000067459', '10090.ENSMUSP00000026661']	[]
P01285358A0396	gastrin	['9606.ENSP00000331358']	[]
P01285358A0396	AFP	['9606.ENSP00000379138', '9606.ENSP00000410446']	[]
P01294345A0591	prolactin	['9606.ENSP00000302150']	[]
P01296815A0059	LD78	['9606.ENSP00000480558']	[]
P01301171A0979	c-myc	['9606.ENSP00000478887']	[]
P01309587A0715	c-myb	['9606.ENSP00000339992']	[]
P01309587A0715	Z protein	['9606.ENSP00000286424']	[]
P01309593A1092	UCRBP	['9606.ENSP00000262238']	[]
P01309910A0428	TAR	['9606.ENSP00000463058']	[]
P01309910A0428	CREB2	['9606.ENSP00000336790', '9606.ENSP00000264110']	[]
P01310935T0000	UbcD1	['7227.FBpp0082477']	[]
P01312005A0600	MDP1	['9606.ENSP00000288087', '9606.ENSP00000399851']	[]
P01313715A0461	p47phox	['9606.ENSP00000289473']	[]
P01313846A0850	poliovirus receptor	['9606.ENSP00000402060']	[]
P01313846A0850	MUC-18	['9606.ENSP00000264036']	[]
P01313846A0850	neural cell adhesion molecule	['9606.ENSP00000383392', '9606.ENSP00000256509', '9606.ENSP00000480132', '7227.FBpp0310127']	[]
P01314953A1266	HAP3	['9606.ENSP00000240055']	[]
P01314953A1266	HAP2	['9606.ENSP00000345702', '9606.ENSP00000334002', '9606.ENSP00000370532', '9606.ENSP00000256104']	[]
P01314953A1266	hap3	['9606.ENSP00000240055']	[]
P01315706A0000	E1a	['10116.ENSRNOP00000027995']	[]
P01316476A1428	ORF 4	['9606.ENSP00000160373']	[]
P01316680A0643	C-X2	['9606.ENSP00000244241']	[]
P01317376A0981	frk	['9606.ENSP00000476145']	[]
P01317376A0981	Fructokinase	['9606.ENSP00000260599']	[]
P01320640A0336	neuron-specific enolase	['9606.ENSP00000437402']	[]
P01320640A0336	VIP	['9606.ENSP00000356213', '9606.ENSP00000498697']	[]
P01320640A0336	glucagon	['9606.ENSP00000387662']	[]
